INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT
23;15.10.2020 0:00:00;2;610000;22203
0;16.10.2020 0:00:00;2;610000;22312
1;16.10.2020 0:00:00;2;610000;22928
2;16.10.2020 0:00:00;2;610000;23792
3;16.10.2020 0:00:00;2;610000;24299
4;16.10.2020 0:00:00;2;610000;25029
5;16.10.2020 0:00:00;2;610000;25317
6;16.10.2020 0:00:00;2;610000;25275
7;16.10.2020 0:00:00;2;610000;24852
8;16.10.2020 0:00:00;2;610000;24742
9;16.10.2020 0:00:00;2;610000;24951
10;16.10.2020 0:00:00;2;610000;24549
11;16.10.2020 0:00:00;2;610000;24658
12;16.10.2020 0:00:00;2;610000;24796
13;16.10.2020 0:00:00;2;610000;24927
14;16.10.2020 0:00:00;2;610000;25208
15;16.10.2020 0:00:00;2;610000;24965
16;16.10.2020 0:00:00;2;610000;24797
17;16.10.2020 0:00:00;2;610000;24435
18;16.10.2020 0:00:00;2;610000;23504
19;16.10.2020 0:00:00;2;610000;23038
20;16.10.2020 0:00:00;2;610000;22430
21;16.10.2020 0:00:00;2;610000;22496
22;16.10.2020 0:00:00;2;610000;22087
23;16.10.2020 0:00:00;2;610000;22064
0;17.10.2020 0:00:00;2;610000;22407
1;17.10.2020 0:00:00;2;610000;22780
2;17.10.2020 0:00:00;2;610000;23098
3;17.10.2020 0:00:00;2;610000;23589
4;17.10.2020 0:00:00;2;610000;24388
5;17.10.2020 0:00:00;2;610000;24413
6;17.10.2020 0:00:00;2;610000;24716
7;17.10.2020 0:00:00;2;610000;24476
8;17.10.2020 0:00:00;2;610000;24641
9;17.10.2020 0:00:00;2;610000;24438
10;17.10.2020 0:00:00;2;610000;24443
11;17.10.2020 0:00:00;2;610000;24443
12;17.10.2020 0:00:00;2;610000;24787
13;17.10.2020 0:00:00;2;610000;25072
14;17.10.2020 0:00:00;2;610000;25348
15;17.10.2020 0:00:00;2;610000;24882
16;17.10.2020 0:00:00;2;610000;24875
17;17.10.2020 0:00:00;2;610000;24230
18;17.10.2020 0:00:00;2;610000;23659
19;17.10.2020 0:00:00;2;610000;22752
20;17.10.2020 0:00:00;2;610000;22547
21;17.10.2020 0:00:00;2;610000;22173
22;17.10.2020 0:00:00;2;610000;22097
23;17.10.2020 0:00:00;2;610000;22081
0;18.10.2020 0:00:00;2;610000;22082
1;18.10.2020 0:00:00;2;610000;22416
2;18.10.2020 0:00:00;2;610000;22718
3;18.10.2020 0:00:00;2;610000;23130
4;18.10.2020 0:00:00;2;610000;23744
5;18.10.2020 0:00:00;2;610000;24384
6;18.10.2020 0:00:00;2;610000;24784
7;18.10.2020 0:00:00;2;610000;24495
8;18.10.2020 0:00:00;2;610000;24483
9;18.10.2020 0:00:00;2;610000;24280
10;18.10.2020 0:00:00;2;610000;24494
11;18.10.2020 0:00:00;2;610000;24412
12;18.10.2020 0:00:00;2;610000;24650
13;18.10.2020 0:00:00;2;610000;25030
14;18.10.2020 0:00:00;2;610000;25266
15;18.10.2020 0:00:00;2;610000;25128
16;18.10.2020 0:00:00;2;610000;24654
17;18.10.2020 0:00:00;2;610000;24212
18;18.10.2020 0:00:00;2;610000;23275
19;18.10.2020 0:00:00;2;610000;22746
20;18.10.2020 0:00:00;2;610000;22383
21;18.10.2020 0:00:00;2;610000;22262
22;18.10.2020 0:00:00;2;610000;22078
23;18.10.2020 0:00:00;2;610000;21975
0;19.10.2020 0:00:00;2;610000;22266
1;19.10.2020 0:00:00;2;610000;22959
2;19.10.2020 0:00:00;2;610000;23741
3;19.10.2020 0:00:00;2;610000;24470
4;19.10.2020 0:00:00;2;610000;25101
5;19.10.2020 0:00:00;2;610000;25627
6;19.10.2020 0:00:00;2;610000;25574
7;19.10.2020 0:00:00;2;610000;25324
8;19.10.2020 0:00:00;2;610000;25493
9;19.10.2020 0:00:00;2;610000;25445
10;19.10.2020 0:00:00;2;610000;25483
11;19.10.2020 0:00:00;2;610000;25120
