YEAR,REGION,INDICATOR
1998,Тверская область,72.21
1998,Томская область,66.53
1998,Тульская область,81.24
1998,Тюменская область,76.66
1998,Удмуртия,69.59
1998,Ульяновская область,72.78
1998,Хабаровский край,80.56
1998,Хакасия,70.65
1998,Ханты-Мансийский автономный округ,91.13
1998,Челябинская область,81.46
1998,Чечня,37.33
1998,Чувашия,60.02
1998,Чукотский автономный округ,68.93
1998,Якутия,64.44
1998,Ямало-Ненецкий автономный округ,83.36
1998,Ярославская область,80.35
1999,Адыгея,52.97
1999,Алтайский край,52.89
1999,Амурская область,66.31
1999,Архангельская область,74.55
1999,Астраханская область,68.22
1999,Башкортостан,64.02
1999,Белгородская область,64.95
1999,Брянская область,68.29
1999,Бурятия,59.72
1999,Владимирская область,79.77
1999,Волгоградская область,74.76
1999,Вологодская область,69.0
1999,Воронежская область,61.35
1999,Дагестан,43.02
1999,Еврейская автономная область,67.0
1999,Забайкальский край,63.84
1999,Ивановская область,82.41
1999,Ингушетия,42.01
1999,Иркутская область,79.62
1999,Кабардино-Балкария,56.83
1999,Калининградская область,77.84
1999,Калмыкия,40.77
1999,Калужская область,74.33
1999,Камчатский край,80.72
1999,Карачаево-Черкесия,43.92
1999,Карелия,74.03
1999,Кемеровская область,86.57
1999,Кировская область,71.0
1999,Костромская область,66.34
1999,Краснодарский край,53.82
1999,Красноярский край,75.03
1999,Крым,
1999,Курганская область,56.23
1999,Курская область,60.26
1999,Ленинградская область,66.32
1999,Липецкая область,63.9
1999,Магаданская область,90.02
1999,Марий Эл,62.91
1999,Мордовия,59.07
1999,Москва,100.0
1999,Московская область,79.57
1999,Мурманская область,92.16
1999,Ненецкий автономный округ,62.35
1999,Нижегородская область,77.79
1999,Новгородская область,70.04
1999,Новосибирская область,74.54
1999,Омская область,68.07
1999,Оренбургская область,64.29
1999,Орловская область,62.88
1999,Пензенская область,64.44
1999,Пермский край,76.04
1999,Приморский край,77.74
1999,Псковская область,65.14
1999,Республика Алтай,25.26
1999,Республика Коми,75.45
1999,Республика Тыва,49.2
1999,Ростовская область,67.69
1999,Рязанская область,67.87
1999,Самарская область,80.58
1999,Санкт-Петербург,100.0
1999,Саратовская область,73.23
1999,Сахалинская область,86.26
1999,Свердловская область,87.77
1999,Севастополь,
1999,Северная Осетия,67.85
1999,Смоленская область,70.04
1999,Ставропольский край,55.97
1999,Тамбовская область,57.17
1999,Татарстан,73.62
1999,Тверская область,72.42
1999,Томская область,66.88
1999,Тульская область,81.25
1999,Тюменская область,76.82
1999,Удмуртия,69.62
1999,Ульяновская область,72.82
1999,Хабаровский край,80.66
1999,Хакасия,70.86
1999,Ханты-Мансийский автономный округ,91.08
1999,Челябинская область,81.48
1999,Чечня,36.83
1999,Чувашия,60.1
1999,Чукотский автономный округ,68.7
1999,Якутия,64.32
1999,Ямало-Ненецкий автономный округ,83.39
1999,Ярославская область,80.48
2000,Адыгея,52.86
2000,Алтайский край,52.77
2000,Амурская область,66.46
2000,Архангельская область,74.74
2000,Астраханская область,67.88
2000,Башкортостан,64.08
2000,Белгородская область,65.06
2000,Брянская область,68.39
2000,Бурятия,59.73
2000,Владимирская область,79.85
2000,Волгоградская область,74.81
2000,Вологодская область,68.72
2000,Воронежская область,61.44
2000,Дагестан,42.57
2000,Еврейская автономная область,66.92
2000,Забайкальский край,63.6
2000,Ивановская область,82.46
2000,Ингушетия,42.87
2000,Иркутская область,79.64
2000,Кабардино-Балкария,56.64
2000,Калининградская область,77.63
2000,Калмыкия,41.37
